dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,25,MIX_L0.01,40,35,5,0,0,2381,16352.066993771528,0.0026286114007234573,25.80273581164588,0.1737244725227356,0.09313929080963135
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,26,FULL_000,40,40,0,0,0,774,16655.357336733767,0.002677365904673934,25.722922840981045,0.17175421118736267,0.103432297706604
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,26,MIX_L0,40,23,0,17,0,827,16655.357336733767,0.002677365904673934,25.722922840981045,0.17175421118736267,0.103432297706604
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,27,FULL_000,40,40,0,0,0,630,18202.07003791639,0.0029260015580803156,25.337254577974736,0.17388850450515747,0.11040914058685303
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,27,MIX_L0,40,23,0,17,0,680,18200.289842820435,0.0029257151763886213,25.33767934653921,0.17383676767349243,0.1101905107498169
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,28,FULL_000,40,40,0,0,0,1401,18678.90798390149,0.0030026535969227552,25.22494756225326,0.14139766991138458,0.11549139022827148
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,28,MIX_L0,40,28,0,12,0,1448,18672.401206786613,0.0030016079545021057,25.226460685881737,0.1414957195520401,0.11535018682479858
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,29,FULL_000,40,40,0,0,0,878,18799.9449441006,0.003022110555320978,25.196896614820304,0.1289220154285431,0.11199384927749634
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,29,MIX_L0,40,20,0,20,0,894,18833.275234560468,0.0030274679884314537,25.189203855634148,0.12932546436786652,0.11235636472702026
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,29,MIX_L0.01,40,35,5,0,0,901,18808.616063277674,0.003023504512384534,25.194893975433747,0.12906962633132935,0.11231380701065063
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,30,FULL_000,40,40,0,0,0,673,17547.070911956733,0.0028207094874233007,25.496416077346097,0.12582026422023773,0.10848033428192139
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,30,MIX_L0,40,15,0,25,0,724,17547.070911956733,0.0028207094874233007,25.496416077346097,0.12582026422023773,0.10848033428192139
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,31,FULL_000,40,40,0,0,0,390,17825.90885688142,0.002865533111616969,25.427945572465084,0.12103915959596634,0.10897541046142578
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,31,MIX_L0,40,18,0,22,0,438,17832.73864621931,0.002866630908101797,25.426281942425256,0.12108568847179413,0.10913693904876709
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,31,MIX_L0.01,40,38,2,0,0,429,17819.610655092198,0.0028645205311477184,25.42948028108983,0.1210610419511795,0.10905522108078003
